Country,Year,GDPPC,LifeExpectancy,Population,Region
Tajikistan,1834,607,24.235,512083,Europe & Central Asia
Tanzania,1834,585,32.2,3129057,Sub-Saharan Africa
Thailand,1834,953,30.4,4847494,East Asia & Pacific
Timor-Leste,1834,557,28.949,153614,East Asia & Pacific
Togo,1834,732,31.3,487574,Sub-Saharan Africa
Tokelau,1834,NA,NA,1003,East Asia & Pacific
Tonga,1834,697,28.2,18548,East Asia & Pacific
Trinidad and Tobago,1834,1331,32.9,66150,America
Tunisia,1834,768,28.8,928894,Middle East & North Africa
Turkey,1834,1319,35,10398375,Europe & Central Asia
Turkmenistan,1834,1057,24,403139,Europe & Central Asia
Turks and Caicos Islands,1834,536,NA,3537,America
Tuvalu,1834,756,NA,2644,East Asia & Pacific
Uganda,1834,498,25.3,2172807,Sub-Saharan Africa
Ukraine,1834,855,36.6,12320877,Europe & Central Asia
United Arab Emirates,1834,1133,30.7,40153,Middle East & North Africa
United Kingdom,1834,3755,40.7838780888907,18533999,Europe & Central Asia
United States,1834,2768,39.41,13480460,America
Uruguay,1834,2448,32.9,74793,America
Uzbekistan,1834,526,26.926,2106508,Europe & Central Asia
Wallis et Futuna,1834,NA,NA,3908,East Asia & Pacific
Vanuatu,1834,616,24.3,28979,East Asia & Pacific
Venezuela,1834,728,32.2,887197,America
West Bank and Gaza,1834,1227,32.1,165944,Middle East & North Africa
Western Sahara,1834,NA,34.753,3161,Middle East & North Africa
Vietnam,1834,855,32,7214925,East Asia & Pacific
Virgin Islands (U.S.),1834,NA,33.403,40000,America
Yemen,1834,965,23.387,2640779,NA
Zambia,1834,720,32.6,747000,Sub-Saharan Africa
Zimbabwe,1834,905,33.7,1167259,Sub-Saharan Africa
South Sudan,1834,544,26.665,1103246,Sub-Saharan Africa
Afghanistan,1835,636,27.8523666666666,3448982,South Asia
Albania,1835,693,35.4,457234,Europe & Central Asia
Algeria,1835,865,28.8224,2880355,Middle East & North Africa
American Samoa,1835,NA,NA,8128,East Asia & Pacific
Andorra,1835,1482,NA,2835,Europe & Central Asia
Angola,1835,720,26.98,1686390,Sub-Saharan Africa
Anguilla,1835,NA,NA,2177,America
Antigua and Barbuda,1835,840,33.536,37000,America
Argentina,1835,1870,33.2,686703,America
Armenia,1835,546,33.995,453507,Europe & Central Asia
Aruba,1835,924,34.419,20332,America
Australia,1835,1890,34.05,348143,East Asia & Pacific
Austria,1835,2477,34.4,3538286,Europe & Central Asia
Azerbaijan,1835,846,29.165,965887,Europe & Central Asia
Bahamas,1835,1603,35.179,27558,America
Bahrain,1835,1436,30.3,64474,Middle East & North Africa
Bangladesh,1835,876,25.5,20872777,South Asia
Barbados,1835,1014,32.124,96798,America
Belarus,1835,670,36.2,2584900,Europe & Central Asia
Belgium,1835,2670,40.2817073170732,3751571,Europe & Central Asia
Belize,1835,642,26.5,25641,America
Benin,1835,643,31,702829,Sub-Saharan Africa
Bermuda,1835,1362,NA,9315,America
Bhutan,1835,650,28.799,94472,South Asia
Bolivia,1835,987,33,1185846,America
Bosnia and Herzegovina,1835,724,35.1,931129,Europe & Central Asia
Botswana,1835,428,33.6,121000,Sub-Saharan Africa
Brazil,1835,1148,31.9932333333334,5301068,America
